Expression|S2U2|μου αρέσει το παγωτό|I like the ice cream|
Expression||Πόσο κάνει αυτό;|How much is that?|
Expression||Τι τρέχει;|What's the matter?|
Expression||Έχει ήλιο και κάνει ζέστη|It's sunny and it's hot|
Expression||Πόσο χρονών είσαι;|How old are you?|
Other|S1U1|μίνι μάρκετ|mini market|n(n,,)
Other|S1U1|βάζο|vase|n(n,,)
Other|S1U2|βίντεο|video|n(n,,)
Other|S1U2|μουσείο|museum|n(n,,)
Other|S1U2|σινεμά|cinema|n(n,,)
Other|S1U2|ντίσκο|disco|n(f,,)
Other|S1U4|χολ|hall|n(f,s,)
Other|S1U5|τηλέφωνο|phone|n(n,,)
Other|S1U7|εφημερίδα|newspaper|n(f,,)
Other|S1U7|βιβλίο|book|n(n,,)
Other|S1U7|ελληνικά|Greek|
Other|S1U7|αγγλικά|English|
Other|S1U7|γαλλικά|French|
Other|S1U7|ολλανδικά|Dutch|
Other|S1U7|Ευρώπη|Europe|
Other|S1U7|Ελλάδα|Greece|
Other|S1U7|Βέλγιο|Belgium|
Other|S1U7|Βέλγος|Belgian (m)|n(m,,)
Other|S1U7|Βελγίδα|Belgian (f)|n(f,,)
Other|S1U15|ερώτηση|question|n(f,,)
Other|S1U15|απάντηση|answer|n(f,,)
Other|S2U3|χρώμα|colour|n(n,,)
Other|S2U7|καιρός|weather / time|n(m,,)
Other|S2U7|ήλιος|sun|n(m,,)
Other|S2U7|ομίχλη|fog|n(f,,)
Other|S2U7|αέρας|wind|n(m,,)
Other|S2U9|χρονών|years old|
Conjunctions|S1U4|και|and|
Conjunctions|S1U4|σε|to|
Conjunctions|S1U4|στο / στον|to the / in the|
Conjunctions|S1U4|με|with|
Conjunctions|S1U7|πολύ|a lot of / very much|
Conjunctions|S1U7|δεν|not / do not|
Conjunctions|S1U7|λίγο|a bit of / a little|
Conjunctions|S1U7|από|from|
Conjunctions|S1U9|δικός / δική / δικό|own (my, your, …)|
Conjunctions|S1U15|τι|what|
Conjunctions|S1U15|πότε|when|
Conjunctions|S1U15|γιατί|why / because|
Conjunctions|S1U15|πού|where|
Conjunctions|S1U15|πως|how|
Conjunctions|S1U15|πόσο / πόσα|how many / how much|
Conjunctions|S1U15|ποιος|who / which / what (male)|
Conjunctions|S1U15|τίνος|whose|
Conjunctions|S1U15|ποιανού|whose (male/neutral owner)|
Conjunctions|S1U15|ποιανής|whose (female owner)|
Conjunctions|S1U15|ποιανών|whose (many owners)|
Conjunctions|S2U4|όλοι|all|
Conjunctions|S2U4|εκείνος|that|
Conjunctions|S2U8|ανάμεσα (σε)|among / between|
Conjunctions|S2U8|για|for|
Conjunctions|S2U8|σαν|like|
Conjunctions|S2U8|δίπλα (σε)|next to / near by|
Conjunctions|S2U8|μέσα (σε)|inside / into / in|
Conjunctions|S2U8|πίσω (από)|behind|
Conjunctions|S2U8|εξαιτίας|because of / due to / because|
Conjunctions|S2U8|όπως|like / as / such as|
Conjunctions|S2U8|έξω (από)|out / outside|
Conjunctions|S2U8|πάνω (από)|on / over / on top of / up|
Conjunctions|S2U8|χωρίς|without|
Conjunctions|S2U8|κάτω (σε)|down / under|
Conjunctions|S2U8|μετά (από)|after / then|
Conjunctions|S2U8|μεταξύ|between|
Conjunctions|S2U8|αντί (για)|instead|
Conjunctions|S2U8|προς|towards / to|
Conjunctions|S2U8|κατά|against / by / according|
Conjunctions|S2U8|λόγω|because / due to / because of / the reason behind|
Conjunctions|S2U8|εκτός (από)|except|
Conjunctions|S2U8|κοντά (σε)|nearby / close to|
Conjunctions|S2U12|παρά|but|
Conjunctions|S2U13|ως|as|
Adjectives|S1U1|ροζ|pink|a
Adjectives|S1U6|μεγάλος|big / tall|a
Adjectives|S1U6|μικρός|little / tiny / small|a
Adjectives|S1U8|καλά|fine / well / good|a
Clothes|S1U14|μάλλινος|woolen|a
Adjectives|S1U14|μάλλινος|woolen|a
Adjectives|S1U14|δερμάτινος|leather|a
Adjectives|S2U3|μαύρο|black|a
Adjectives|S2U3|καφέ|brown|a
Adjectives|S2U3|πορτοκαλί|orange|a
Adjectives|S2U3|πράσινο|green|a
Adjectives|S2U3|γαλάζιο|light blue|a
Adjectives|S2U3|μπλε|blue|a
Adjectives|S2U3|μοβ|purple|a
Adjectives|S2U3|Λευκό / άσπρο|white|a
Adjectives|S2U3|Κόκκινο / ερυθρό|red|a
Adjectives|S2U3|γκρι|grey|a
Adjectives|S2U3|κίτρινο|yellow|a
Adjectives|S2U3|πολύχρωμος|multicolored / colorful|a
Adjectives|S2U3|ασπρόμαυρος|black and white|a
Adjectives|S2U3|ανοιχρός κόκκινο|light red|a
Adjectives|S2U3|βαθύ μπλε|deep blue|a
Adjectives|S2U3|σκούρο πράσινο|dark green|a
Adjectives|S2U7|κρύο|cold|a
Adjectives|S2U7|σιννεφιά|cloudy|a
Adjectives|S2U7|ζέστη|heat / hot|a
Adjectives|S2U11|γενικός|general|a
Adjectives|S2U11|τοπικός|local|a
Adjectives|S2U11|πραγματικός|real|a
Adjectives|S2U11|επόμενος|next|a
Adjectives|S2U11|ιδιαίτερος|special|a
Adjectives|S2U11|κουρασμένος|tired|a
Adjectives|S2U11|υπέροχος|wonderful|a
Adjectives|S2U11|σκέτος|ordinary|a
Adjectives|S2U11|δίγλωσσος|bilingual|a
Adjectives|S2U11|διαφορετικός|different|a
Adjectives|S2U11|πρόσφατος|recent|a
Adjectives|S2U11|εύκολος|easy|a
Adjectives|S2U11|προσωπικός|personal|a
Adjectives|S2U11|αριστερός|left|a
Adjectives|S2U11|βασικός|basic|a
Adjectives|S2U11|δύσκολος|difficult|a
Adjectives|S2U11|επίσημος|official / formal|a
Adjectives|S2U11|κλειστός|closed|a
Adjectives|S2U11|ωραίος|nice|a
Adjectives|S2U11|νόμιμος|legal|a
Adjectives|S2U11|σημαντικός|important|a
Adjectives|S2U11|τελικός|final|a
Adjectives|S2U11|ολόκληρος|whole|a
Adjectives|S2U11|απαραίτητος|necessary|a
Adjectives|S2U11|φυσιολογικός|normal|a
Adjectives|S2U11|στρατιωτικός|military|a
Adjectives|S2U11|εξαιρετικός|excellent / great|a
Adjectives|S2U11|τέλειος|perfect|a
Adjectives|S2U11|διάσημος|famous|a
Adjectives|S2U11|ξύλινος|wooden|a
Adjectives|S2U11|ζοντανός|alive|a
Adjectives|S2U11|γρήγορος|fast|a
Adjectives|S2U11|ακριβός|expensive|a
Animals|S1U12|ζώο|animal|n(n,,)
Animals|S1U12|κατοικίδιο|pet|n(n,,)
Animals|S1U12|κουτάβι|puppy|n(n,,)
Animals|S1U12|πουλί|bird|n(n,,)
Animals|S1U12|κότα|chicken|n(f,,)
Animals|S1U12|πάπια|duck|n(f,,)
Animals|S1U12|πελεκάνος|pelican|n(m,,)
Animals|S1U12|αετός|eagle|n(m,,)
Animals|S1U12|θηλαστικό|mammal|n(n,,)
Animals|S1U12|γάτα|cat|n(f,,)
Animals|S1U12|άλογο|horse|n(n,,)
Animals|S1U12|σκύλος|dog|n(m,,)
Animals|S1U12|αρκούδα|bear|n(f,,)
Animals|S1U12|ποντίκι|mouse|n(n,,)
Animals|S1U12|πίθηκος|ape|n(m,,)
Animals|S1U12|καμήλα|camel|n(f,,)
